"","X1","X2","X3","X4","X5","X6","X7","X8"
"231","271302835","Siedlerchr","Fri Oct 22 12:52:45 2021","add changelog","1 file changed","2 insertions(+)","",""
"232","5e0d80290","Carl Christian Snethlage","Thu Oct 21 14:15:35 2021","checkstyle","1 file changed","1 deletion(-)","",""
"233","60eeb5e8c","dependabot[bot]","Mon Oct 18 07:29:41 2021","Bump xmlunit-core from 2.8.2 to 2.8.3","1 file changed","1 insertion(+)","1 deletion(-)",""
"234","d18f22319","dependabot[bot]","Mon Oct 18 07:18:53 2021","Bump classgraph from 4.8.126 to 4.8.128","1 file changed","1 insertion(+)","1 deletion(-)",""
"235","836e347b1","colinhex","Sun Oct 17 15:08:05 2021","clear checkstyle errors","1 file changed","1 insertion(+)","2 deletions(-)",""
"236","6584c6442","Oliver Kopp","Sun Oct 17 13:49:03 2021","Allow manual triggering of fetcher tests","1 file changed","1 insertion(+)","",""
"237","311aa639c","colinhex","Sun Oct 17 13:17:54 2021","delete empty line","1 file changed","1 deletion(-)","",""
"238","71b3c47d5","Oliver Kopp","Sun Oct 17 13:16:30 2021","Fix checkstyle","1 file changed","1 insertion(+)","1 deletion(-)",""
"239","832c185f6","colinhex","Sun Oct 17 13:12:31 2021","optimize imports","1 file changed","1 insertion(+)","",""
"240","3d6db7bdf","colinhex","Sun Oct 17 12:30:21 2021","Revert separately handle fetcherexceptions in CompositeIdFetcher""""""""","1 file changed","1 insertion(+)","18 deletions(-)",""
"241","c1686953d","colinhex","Sun Oct 17 12:26:50 2021","separately handle fetcherexceptions in CompositeIdFetcher","1 file changed","18 insertions(+)","1 deletion(-)",""
"242","200f63827","Oliver Kopp","Sun Oct 17 05:24:53 2021","Remove Elsevier test","1 file changed","6 deletions(-)","",""
"243","43ee16ebe","Oliver Kopp","Sun Oct 17 04:14:12 2021","Disable markdownlint for docs, because Gitbook does not produce correct"""" Markdown""""","1 file changed","1 insertion(+)","1 deletion(-)",""
"244","9d946f7b2","Oliver Kopp","Sun Oct 17 04:06:08 2021","Revert Add first try to check for content type""""""""","1 file changed","13 insertions(+)","43 deletions(-)",""
"245","b118a588c","Oliver Kopp","Sun Oct 17 04:06:03 2021","Add first try to check for content type","1 file changed","43 insertions(+)","13 deletions(-)",""
"246","9177cbc3e","Oliver Kopp","Sun Oct 17 03:01:44 2021","Add test for paywalled articles","1 file changed","17 insertions(+)","11 deletions(-)",""
"247","01511e4f9","Oliver Kopp","Sun Oct 17 03:00:34 2021","Change from http to https for the referrer","1 file changed","1 insertion(+)","1 deletion(-)",""
"248","b3a9663c3","Oliver Kopp","Sun Oct 17 02:54:02 2021","Disable IacrEprintFetcherTest, because gets blocked","1 file changed","2 insertions(+)","",""
"249","42e37eb9e","Oliver Kopp","Sun Oct 17 02:47:32 2021","Fix checkstyle","1 file changed","1 deletion(-)","",""
"250","c5b56988d","Oliver Kopp","Sun Oct 17 02:46:42 2021","Add empty line to have log file rendered properly","1 file changed","3 insertions(+)","",""
"251","b9b8c05f9","Oliver Kopp","Sun Oct 17 02:10:37 2021","Adapt test to new behavior","1 file changed","1 insertion(+)","1 deletion(-)",""
"252","b00a749bd","colinhex","Sat Oct 16 20:50:31 2021","add IacrEprint identifier","1 file changed","79 insertions(+)","",""
"253","ccbbd0278","github actions","Thu Oct 14 19:17:26 2021","Refresh example styles","1 file changed","19 insertions(+)","19 deletions(-)",""
"254","85e43d7ab","Oliver Kopp","Thu Oct 14 15:56:13 2021","Add PR reference","1 file changed","1 insertion(+)","1 deletion(-)",""
"255","d10cc26b5","colinhex","Tue Oct 12 06:41:19 2021","fix checkstyle warnings","1 file changed","1 insertion(+)","1 deletion(-)",""
"256","2534f1f55","colinhex","Tue Oct 12 03:01:49 2021","optimize code","1 file changed","4 insertions(+)","6 deletions(-)",""
"257","0e1570a9f","colinhex","Tue Oct 12 02:54:38 2021","change log level in CompositeFetcher","1 file changed","5 insertions(+)","5 deletions(-)",""
"258","6aa788a16","colinhex","Tue Oct 12 02:50:22 2021","optimize imports","1 file changed","1 deletion(-)","",""
"259","24295e607","Siedlerchr","Mon Oct 11 11:41:02 2021","Fix unit test, change master to main","1 file changed","1 insertion(+)","1 deletion(-)",""
"260","b7261311e","dependabot[bot]","Mon Oct 11 07:45:21 2021","Bump mockito-core from 3.12.4 to 4.0.0","1 file changed","1 insertion(+)","1 deletion(-)",""
"261","d7de79bd2","dependabot[bot]","Mon Oct 11 07:38:36 2021","Bump guava from 31.0-jre to 31.0.1-jre","1 file changed","1 insertion(+)","1 deletion(-)",""
"262","600c207c5","dependabot[bot]","Mon Oct 11 07:18:30 2021","Bump classgraph from 4.8.121 to 4.8.126","1 file changed","1 insertion(+)","1 deletion(-)",""
"263","8569df2d7","dependabot[bot]","Mon Oct 11 07:14:24 2021","Bump unoloader from 7.2.0 to 7.2.2","1 file changed","1 insertion(+)","1 deletion(-)",""
"264","1e5fdcb8d","Siedlerchr","Sun Oct 10 09:43:05 2021","lint","1 file changed","2 insertions(+)","3 deletions(-)",""
"265","42a9992de","gitbook-bot","Sun Oct 10 09:05:11 2021","Initialize repository","1 file changed","0 insertions(+)","0 deletions(-)",""
"266","3ec6a4a24","Christoph","Sat Oct 9 10:45:38 2021","Add Tutorials for javafx","1 file changed","1 insertion(+)","",""
"267","8c48be07a","colinhex","Sat Oct 9 05:44:22 2021","exclude CompositeIdFetcher from WebFetchersTest","1 file changed","3 insertions(+)","",""
"268","3a0b625dd","colinhex","Sat Oct 9 04:49:37 2021","adjust button style class and focus","1 file changed","2 insertions(+)","",""
"269","6478b1117","ColinHex","Sat Oct 9 04:22:52 2021","Update CHANGELOG.md","1 file changed","1 insertion(+)","",""
"270","195b3be0f","colinhex","Fri Oct 8 14:06:36 2021","optimize","1 file changed","2 deletions(-)","",""
"271","04e65eaeb","colinhex","Fri Oct 8 14:03:13 2021","add binding for newEntryFromIdButton","1 file changed","3 insertions(+)","1 deletion(-)",""
"272","bff611037","Siedlerchr","Fri Oct 8 13:34:08 2021","lint","1 file changed","1 insertion(+)","",""
"273","3b84b44e4","Siedlerchr","Fri Oct 8 13:29:38 2021","Add changelot","1 file changed","1 insertion(+)","1 deletion(-)",""
"274","4d623881a","Siedlerchr","Fri Oct 8 13:23:16 2021","Open folder on mac and highlight file","1 file changed","2 insertions(+)","2 deletions(-)",""
"275","0863df74e","colinhex","Fri Oct 8 12:23:58 2021","clean up checkstyle in test","1 file changed","5 insertions(+)","8 deletions(-)",""
"276","899784e9f","colinhex","Fri Oct 8 11:05:15 2021","Add CHANGELOG.md update","1 file changed","1 insertion(+)","1 deletion(-)",""
"277","a9f6aec98","colinhex","Fri Oct 8 11:04:52 2021","Add CompositeIdFetcherTest","1 file changed","126 insertions(+)","",""
"278","dd5faee4a","Bruno Nunes","Thu Oct 7 03:36:10 2021","Add Tests to DoiCleanup (#8124)","1 file changed","67 insertions(+)","",""
"279","5344c9138","Siedlerchr","Tue Oct 5 12:10:28 2021","udpate to javafx 17.0.0.1","1 file changed","1 insertion(+)","1 deletion(-)",""
"280","30bad257c","dependabot[bot]","Mon Oct 4 08:22:39 2021","Bump jackson-dataformat-yaml from 2.12.5 to 2.13.0","1 file changed","1 insertion(+)","1 deletion(-)",""
"281","2a6a1c20e","dependabot[bot]","Mon Oct 4 07:39:52 2021","Bump jackson-datatype-jsr310 from 2.12.5 to 2.13.0","1 file changed","1 insertion(+)","1 deletion(-)",""
"282","d4efab770","dependabot[bot]","Mon Oct 4 07:25:00 2021","Bump byte-buddy-parent from 1.11.15 to 1.11.18","1 file changed","1 insertion(+)","1 deletion(-)",""
"283","5858a1867","dependabot[bot]","Mon Oct 4 07:23:37 2021","Bump classgraph from 4.8.116 to 4.8.121","1 file changed","1 insertion(+)","1 deletion(-)",""
"284","1ba291362","dependabot[bot]","Mon Oct 4 07:12:51 2021","Bump checkstyle from 9.0 to 9.0.1","1 file changed","1 insertion(+)","1 deletion(-)",""
"285","04841d7a6","github actions","Thu Sep 30 19:20:44 2021","Squashed 'buildres/csl/csl-locales/' changes from 7a507fc008..495f888637","1 file changed","4 insertions(+)","4 deletions(-)",""
"286","1fde6dd7b","Maximilian Federle","Thu Sep 30 09:21:35 2021","Update CHANGELOG.md","1 file changed","1 insertion(+)","",""
"287","9fbf27227","Maximilian Federle","Thu Sep 30 09:12:45 2021","snap: Use lzo compression & switch to core20 base","1 file changed","4 insertions(+)","3 deletions(-)",""
"288","0d716dca2","dependabot[bot]","Mon Sep 27 09:14:12 2021","Bump libreoffice from 7.2.0 to 7.2.1","1 file changed","1 insertion(+)","1 deletion(-)",""
"289","5d7407579","dependabot[bot]","Mon Sep 27 07:47:39 2021","Bump java-diff-utils from 4.10 to 4.11","1 file changed","1 insertion(+)","1 deletion(-)",""
"290","101a9ceee","dependabot[bot]","Mon Sep 27 07:36:52 2021","Bump unirest-java from 3.11.13 to 3.13.0","1 file changed","1 insertion(+)","1 deletion(-)",""
"291","c2ca97c7c","dependabot[bot]","Mon Sep 27 07:34:37 2021","Bump org.javamodularity.moduleplugin from 1.8.9 to 1.8.10","1 file changed","1 insertion(+)","1 deletion(-)",""
"292","149ab6716","dependabot[bot]","Mon Sep 27 07:31:23 2021","Bump guava from 30.1.1-jre to 31.0-jre","1 file changed","1 insertion(+)","1 deletion(-)",""
"293","53f920ca6","dependabot[bot]","Mon Sep 27 07:19:43 2021","Bump junit-platform-launcher from 1.7.2 to 1.8.1","1 file changed","1 insertion(+)","1 deletion(-)",""
"294","99982e48e","dependabot[bot]","Mon Sep 27 07:07:32 2021","Bump postgresql from 42.2.23 to 42.2.24","1 file changed","1 insertion(+)","1 deletion(-)",""
"295","8e0a3f760","dependabot[bot]","Mon Sep 20 07:42:35 2021","Bump org.beryx.jlink from 2.24.1 to 2.24.2","1 file changed","1 insertion(+)","1 deletion(-)",""
"296","71ace52dd","dependabot[bot]","Mon Sep 20 07:39:53 2021","Bump flowless from 0.6.5 to 0.6.6","1 file changed","1 insertion(+)","1 deletion(-)",""
"297","3d0e9b8d1","dependabot[bot]","Mon Sep 20 07:22:20 2021","Bump classgraph from 4.8.115 to 4.8.116","1 file changed","1 insertion(+)","1 deletion(-)",""
"298","cab7b527a","Dominik Voigt","Thu Sep 16 03:46:57 2021","Add fetcher delegator","1 file changed","95 insertions(+)","",""
"299","dcb9b457a","dependabot[bot]","Mon Sep 13 07:45:23 2021","Bump org.eclipse.jgit","1 file changed","1 insertion(+)","1 deletion(-)",""
"300","5ef906795","Christoph","Sun Sep 12 12:01:41 2021","New translations JabRef_en.properties (Turkish)","1 file changed","1 insertion(+)","",""
"301","b90f159ce","Christoph","Sun Sep 12 12:01:40 2021","New translations JabRef_en.properties (Italian)","1 file changed","1 insertion(+)","",""
"302","cd70130a6","Christoph","Sat Sep 11 12:01:44 2021","New translations JabRef_en.properties (Italian)","1 file changed","1 deletion(-)","",""
"303","bd391153c","Christoph","Sat Sep 11 12:01:37 2021","New translations JabRef_en.properties (Turkish)","1 file changed","47 insertions(+)","3 deletions(-)",""
"304","99ba8e7c3","Christoph","Sat Sep 11 12:01:33 2021","New translations JabRef_en.properties (Indonesian)","1 file changed","1 insertion(+)","",""
"305","8c2e1c83a","Christoph","Sat Sep 11 12:01:31 2021","New translations JabRef_en.properties (Russian)","1 file changed","1 deletion(-)","",""
"306","50fccc8c9","Christoph","Sat Sep 11 12:01:29 2021","New translations JabRef_en.properties (French)","1 file changed","24 insertions(+)","3 deletions(-)",""
"307","067af0c09","Siedlerchr","Sat Sep 11 11:21:23 2021","readd month","1 file changed","1 insertion(+)","",""
"308","783c3b0ef","Siedlerchr","Sat Sep 11 11:04:07 2021","remove month field","1 file changed","1 deletion(-)","",""
"309","0b63cf33d","Siedlerchr","Sat Sep 11 10:58:49 2021","mark failing test as fetcher test","1 file changed","2 insertions(+)","",""
"310","f2c819c47","Christoph","Sat Sep 11 05:36:29 2021","Update gradle.properties","1 file changed","1 insertion(+)","1 deletion(-)",""
"311","30edbe0be","Christoph","Sat Sep 11 05:23:15 2021","Update gradle.properties","1 file changed","1 insertion(+)","1 deletion(-)",""
"312","06196a9bd","Galileo Sartor","Sat Sep 11 05:15:19 2021","snap amd fix","1 file changed","4 insertions(+)","",""
"313","d84ccfd7c","Christoph","Fri Sep 10 12:02:36 2021","New translations JabRef_en.properties (Italian)","1 file changed","48 insertions(+)","3 deletions(-)",""
"314","57eb9e0ec","Christoph","Fri Sep 10 12:02:27 2021","New translations JabRef_en.properties (Chinese Simplified)","1 file changed","4 insertions(+)","",""
"315","6170f851d","Christoph","Fri Sep 10 12:02:22 2021","New translations JabRef_en.properties (Russian)","1 file changed","17 insertions(+)","",""
"316","e0af6314c","Christoph","Fri Sep 10 12:02:21 2021","New translations JabRef_en.properties (French)","1 file changed","24 insertions(+)","",""
"317","bc9d18322","Siedlerchr","Thu Sep 9 12:35:42 2021","add 4g","1 file changed","2 insertions(+)","1 deletion(-)",""
"318","406f38bba","Siedlerchr","Thu Sep 9 12:34:58 2021","update to 4g","1 file changed","1 insertion(+)","1 deletion(-)",""
"319","d7bec599e","Christoph","Thu Sep 9 12:02:06 2021","New translations JabRef_en.properties (Tagalog)","1 file changed","7 insertions(+)","7 deletions(-)",""
"320","7a0597e3f","Christoph","Thu Sep 9 12:02:05 2021","New translations JabRef_en.properties (Danish)","1 file changed","7 insertions(+)","6 deletions(-)",""
"321","9806fac50","Christoph","Thu Sep 9 12:02:04 2021","New translations JabRef_en.properties (German)","1 file changed","34 insertions(+)","21 deletions(-)",""
"322","3cd647577","Christoph","Thu Sep 9 12:02:02 2021","New translations JabRef_en.properties (Greek)","1 file changed","7 insertions(+)","8 deletions(-)",""
"323","65677be38","Christoph","Thu Sep 9 12:02:01 2021","New translations JabRef_en.properties (Italian)","1 file changed","34 insertions(+)","21 deletions(-)",""
"324","e2b459977","Christoph","Thu Sep 9 12:01:59 2021","New translations JabRef_en.properties (Japanese)","1 file changed","8 insertions(+)","17 deletions(-)",""
"325","18d07f780","Christoph","Thu Sep 9 12:01:58 2021","New translations JabRef_en.properties (Dutch)","1 file changed","7 insertions(+)","8 deletions(-)",""
"326","8cc3c01a4","Christoph","Thu Sep 9 12:01:57 2021","New translations JabRef_en.properties (Norwegian)","1 file changed","7 insertions(+)","7 deletions(-)",""
"327","ef20b9a4c","Christoph","Thu Sep 9 12:01:55 2021","New translations JabRef_en.properties (Polish)","1 file changed","7 insertions(+)","3 deletions(-)",""
"328","a06433916","Christoph","Thu Sep 9 12:01:53 2021","New translations JabRef_en.properties (Spanish)","1 file changed","26 insertions(+)","18 deletions(-)",""
"329","850655c19","Christoph","Thu Sep 9 12:01:52 2021","New translations JabRef_en.properties (Portuguese)","1 file changed","7 insertions(+)","7 deletions(-)",""
"330","048ee5219","Christoph","Thu Sep 9 12:01:51 2021","New translations JabRef_en.properties (Swedish)","1 file changed","7 insertions(+)","7 deletions(-)",""
"331","84f59b2a0","Christoph","Thu Sep 9 12:01:49 2021","New translations JabRef_en.properties (Turkish)","1 file changed","75 insertions(+)","30 deletions(-)",""
"332","e9c3c1b3b","Christoph","Thu Sep 9 12:01:48 2021","New translations JabRef_en.properties (Chinese Simplified)","1 file changed","183 insertions(+)","75 deletions(-)",""
"333","958a08297","Christoph","Thu Sep 9 12:01:46 2021","New translations JabRef_en.properties (Chinese Traditional)","1 file changed","96 insertions(+)","12 deletions(-)",""
"334","5fa8d7721","Christoph","Thu Sep 9 12:01:45 2021","New translations JabRef_en.properties (Vietnamese)","1 file changed","7 insertions(+)","6 deletions(-)",""
"335","c7459a312","Christoph","Thu Sep 9 12:01:44 2021","New translations JabRef_en.properties (Portuguese, Brazilian)","1 file changed","8 insertions(+)","17 deletions(-)",""
"336","ed92f1659","Christoph","Thu Sep 9 12:01:42 2021","New translations JabRef_en.properties (Indonesian)","1 file changed","7 insertions(+)","7 deletions(-)",""
"337","c7dc5144c","Christoph","Thu Sep 9 12:01:41 2021","New translations JabRef_en.properties (Persian)","1 file changed","7 insertions(+)","2 deletions(-)",""
"338","0212d8503","Christoph","Thu Sep 9 12:01:40 2021","New translations JabRef_en.properties (Russian)","1 file changed","35 insertions(+)","21 deletions(-)",""
"339","6c4aeaaab","Christoph","Thu Sep 9 12:01:39 2021","New translations JabRef_en.properties (French)","1 file changed","36 insertions(+)","23 deletions(-)",""
"340","d7d7ccf97","Siedlerchr","Thu Sep 9 11:13:06 2021","Update to javafx 17","1 file changed","1 insertion(+)","1 deletion(-)",""
"341","6a4630018","Carl Christian Snethlage","Thu Sep 9 10:36:50 2021","Update StateManager.java","1 file changed","6 insertions(+)","6 deletions(-)",""
"342","68b8aa31b","Siedlerchr","Wed Sep 8 11:42:20 2021","remove extra list","1 file changed","2 insertions(+)","5 deletions(-)",""
"343","a58db7cf1","Siedlerchr","Wed Sep 8 11:40:11 2021","remove useless result updater","1 file changed","6 deletions(-)","",""
"344","30e870a4e","Siedlerchr","Wed Sep 8 11:38:48 2021","fix compile error","1 file changed","2 insertions(+)","4 deletions(-)",""
"345","2d4dc09a7","dependabot[bot]","Mon Sep 6 07:01:23 2021","Bump slf4j-api from 2.0.0-alpha4 to 2.0.0-alpha5","1 file changed","1 insertion(+)","1 deletion(-)",""
"346","3a223df10","dependabot[bot]","Mon Sep 6 07:01:15 2021","Bump byte-buddy-parent from 1.11.13 to 1.11.15","1 file changed","1 insertion(+)","1 deletion(-)",""
"347","0e6732d99","dependabot[bot]","Mon Sep 6 07:01:09 2021","Bump org.javamodularity.moduleplugin from 1.8.8 to 1.8.9","1 file changed","1 insertion(+)","1 deletion(-)",""
"348","fbd5f25ba","dependabot[bot]","Mon Sep 6 07:00:59 2021","Bump checkstyle from 8.45.1 to 9.0","1 file changed","1 insertion(+)","1 deletion(-)",""
"349","91ab3f8f5","dependabot[bot]","Mon Sep 6 07:00:57 2021","Bump pascalgn/automerge-action from 0.14.2 to 0.14.3","1 file changed","1 insertion(+)","1 deletion(-)",""
"350","fad8b80a2","Oliver Kopp","Sat Sep 4 03:48:41 2021","Refine test description and refine the test","1 file changed","8 insertions(+)","13 deletions(-)",""
